,_id,btce-price,btce-buy,btce-volume,btce-low,btce-sell,btce-high,btce-time_stamp,cd-value,epoch,btce-err,cd-updated,cd-price,cd-err
126,57ff214c9335c039eb7f1d90,635.6,635.599,2784064.89046,630.0,634.673,638.58,1476337995.0,false,126,0,,,
127,57ff215b9335c039eb7f1d94,635.6,635.599,2784064.89046,630.0,634.673,638.58,1476338009.0,false,127,0,,,
128,57ff216a9335c039eb7f1d97,635.6,635.599,2784064.89046,630.0,634.673,638.58,1476338025.0,1,128,0,1476337980.0,636.5538,0.0
129,57ff21799335c039eb7f1d9d,634.673,635.599,2784064.89046,630.0,634.673,638.58,1476338039.0,false,129,0,,,
130,57ff21889335c039eb7f1d9f,634.673,635.599,2784036.54404,630.0,634.673,638.58,1476338056.0,false,130,0,,,
131,57ff21979335c039eb7f1da2,634.673,635.599,2784036.54404,630.0,634.673,638.58,1476338070.0,false,131,0,,,
132,57ff21a69335c039eb7f1da4,634.673,635.6,2784036.54404,630.0,634.672,638.58,1476338086.0,1,132,0,1476338040.0,636.44,0.0
133,57ff21b59335c039eb7f1da6,634.673,635.599,2784036.54404,630.0,634.673,638.58,1476338100.0,false,133,0,,,
134,57ff21c49335c039eb7f1da9,634.672,634.673,2784011.71831,630.0,634.672,638.58,1476338116.0,false,134,0,,,
135,57ff21d39335c039eb7f1dab,634.672,634.673,2784011.71831,630.0,634.672,638.58,1476338130.0,false,135,0,,,
136,57ff21e29335c039eb7f1dad,634.673,634.673,2784011.71831,630.0,634.672,638.58,1476338144.0,1,136,0,1476338100.0,636.42,0.0
137,57ff21f19335c039eb7f1daf,634.673,634.673,2784011.71831,630.0,634.672,638.58,1476338160.0,false,137,0,,,
138,57ff22009335c039eb7f1db1,634.673,634.673,2784152.8526,630.0,634.672,638.58,1476338174.0,false,138,0,,,
139,57ff220f9335c039eb7f1db5,634.672,634.673,2784152.8526,630.0,634.672,638.58,1476338190.0,false,139,0,,,
140,57ff221e9335c039eb7f1db7,634.672,634.673,2784152.8526,630.0,634.672,638.58,1476338205.0,1,140,0,1476338160.0,636.4588,0.0
141,57ff222d9335c039eb7f1dba,634.672,634.673,2787338.7628900004,630.0,634.672,638.58,1476338221.0,false,141,0,,,
142,57ff223c9335c039eb7f1dbc,634.65,634.673,2787338.7628900004,630.0,634.65,638.58,1476338235.0,false,142,0,,,
143,57ff224b9335c039eb7f1dbe,634.673,634.673,2787338.7628900004,630.0,634.65,638.58,1476338251.0,false,143,0,,,
144,57ff225a9335c039eb7f1dc1,635.252,635.252,2787338.7628900004,630.0,634.651,638.58,1476338265.0,1,144,0,1476338220.0,636.3238,0.0
145,57ff22699335c039eb7f1dc4,634.65,635.898,2785785.28802,630.0,634.651,638.58,1476338281.0,false,145,0,,,
146,57ff22789335c039eb7f1dc6,634.65,635.898,2785785.28802,630.0,634.651,638.58,1476338295.0,false,146,0,,,
147,57ff22879335c039eb7f1dc9,634.65,635.898,2785785.28802,630.0,634.651,638.58,1476338309.0,false,147,0,,,
148,57ff22969335c039eb7f1dcb,634.65,635.898,2785785.28802,630.0,634.651,638.58,1476338325.0,1,148,0,1476338280.0,636.3963,0.0
149,57ff22a59335c039eb7f1dcf,634.65,635.898,2785785.28802,630.0,634.651,638.58,1476338339.0,false,149,0,,,
150,57ff22b49335c039eb7f1dd2,634.65,635.898,2783513.44501,630.0,634.651,638.58,1476338356.0,false,150,0,,,
151,57ff22c39335c039eb7f1dd5,634.65,635.898,2783513.44501,630.0,634.651,638.58,1476338370.0,false,151,0,,,
152,57ff22d29335c039eb7f1dd9,634.65,634.999,2783513.44501,630.0,634.64,638.58,1476338386.0,1,152,0,1476338340.0,636.455,0.0
153,57ff22e19335c039eb7f1ddd,634.641,634.65,2783513.44501,630.0,634.641,638.58,1476338400.0,false,153,0,,,
154,57ff22f09335c039eb7f1ddf,634.641,634.641,2782004.21481,630.0,634.64,638.58,1476338416.0,false,154,0,,,
155,57ff22ff9335c039eb7f1de1,634.999,634.999,2782004.21481,630.0,634.64,638.58,1476338430.0,false,155,0,,,
156,57ff230e9335c039eb7f1de5,634.641,634.673,2782004.21481,630.0,634.641,638.58,1476338444.0,1,156,0,1476338400.0,636.455,0.0
157,57ff231d9335c039eb7f1de7,634.641,634.673,2781295.7143599996,630.0,634.641,638.58,1476338460.0,false,157,0,,,
158,57ff232c9335c039eb7f1de9,634.641,634.673,2781295.7143599996,630.0,634.641,638.58,1476338474.0,false,158,0,,,
159,57ff233b9335c039eb7f1ded,634.64,634.673,2781295.7143599996,630.0,634.64,638.58,1476338491.0,false,159,0,,,
160,57ff234b9335c039eb7f1def,634.64,634.673,2781295.7143599996,630.0,634.64,638.58,1476338505.0,1,160,0,1476338460.0,636.4513,0.0
161,57ff23599335c039eb7f1df2,634.64,634.673,2781003.64993,630.0,634.64,638.58,1476338521.0,false,161,0,,,
162,57ff23689335c039eb7f1df4,634.64,634.673,2781003.64993,630.0,634.64,638.58,1476338535.0,false,162,0,,,
163,57ff23779335c039eb7f1df6,634.64,634.673,2781003.64993,630.0,634.64,638.58,1476338551.0,false,163,0,,,
164,57ff23869335c039eb7f1df8,634.64,634.673,2781003.64993,630.0,634.64,638.58,1476338565.0,1,164,0,1476338520.0,636.1963,0.0
165,57ff23959335c039eb7f1dfa,634.64,634.673,2781003.64993,630.0,634.64,638.58,1476338579.0,false,165,0,,,
166,57ff23a49335c039eb7f1dfc,634.64,634.673,2780779.27622,630.0,634.64,638.58,1476338595.0,false,166,0,,,
167,57ff23b39335c039eb7f1dfe,634.64,634.673,2780779.27622,630.0,634.64,638.58,1476338609.0,false,167,0,,,
