,_id,threshold_setting,prev_tx_count_in,prev_mass_out,prev_value_in,epoch,epoch_time_stamp,prev_mass_in,prev_value_out,prev_tx_count_out
119,57ff20e39335c039eb7f1d7e,50.0,30,0,31840801920,119,1476337891.213842,0,30602515152,30
120,57ff20f29335c039eb7f1d81,50.0,43,0,31369229515,120,1476337906.2170029,0,28481549729,43
121,57ff21019335c039eb7f1d83,50.0,34,0,4518015756,121,1476337921.218173,0,2446877389,34
122,57ff21109335c039eb7f1d86,50.0,52,0,46820255244,122,1476337936.220583,0,46163468707,52
123,57ff211f9335c039eb7f1d89,50.0,17,0,22542883182,123,1476337951.22313,0,22042742542,17
124,57ff212e9335c039eb7f1d8b,50.0,31,0,8114290850,124,1476337966.224375,0,6949528294,31
125,57ff213d9335c039eb7f1d8d,50.0,20,0,11220215519,125,1476337981.225847,0,8638448753,20
126,57ff214c9335c039eb7f1d8f,50.0,27,0,4323055601,126,1476337996.229522,0,2881377517,27
127,57ff215b9335c039eb7f1d93,50.0,35,0,65412461705,127,1476338011.232673,0,59511509771,35
128,57ff216a9335c039eb7f1d96,50.0,37,0,28049026947,128,1476338026.234425,0,27673435405,37
129,57ff21799335c039eb7f1d9c,50.0,53,0,424507871970,129,1476338041.236394,0,417334926124,53
130,57ff21889335c039eb7f1d9e,50.0,36,0,3800561419,130,1476338056.24096,0,3317592316,36
131,57ff21979335c039eb7f1da1,50.0,28,0,8787444939,131,1476338071.244041,0,8458628113,28
132,57ff21a69335c039eb7f1da3,50.0,21,0,1648632038,132,1476338086.248043,0,1491149469,21
133,57ff21b59335c039eb7f1da5,50.0,39,0,6944767569,133,1476338101.249408,0,4670539574,39
134,57ff21c49335c039eb7f1da8,50.0,33,0,14656309568,134,1476338116.252995,0,13982721430,33
135,57ff21d39335c039eb7f1daa,50.0,28,0,5124272109,135,1476338131.2563071,0,4803480417,28
136,57ff21e29335c039eb7f1dac,50.0,31,0,39018608950,136,1476338146.257743,0,4535913923,31
137,57ff21f19335c039eb7f1dae,50.0,27,0,1294990900,137,1476338161.261591,0,994345597,27
138,57ff22009335c039eb7f1db0,50.0,45,0,9570790198,138,1476338176.264004,0,5053674134,45
139,57ff220f9335c039eb7f1db4,50.0,46,0,18696763926,139,1476338191.267055,0,15800285305,46
140,57ff221e9335c039eb7f1db6,50.0,46,0,14713268210,140,1476338206.269752,0,13633841271,46
141,57ff222d9335c039eb7f1db9,50.0,51,0,23902940490,141,1476338221.2724369,0,22990953886,51
142,57ff223c9335c039eb7f1dbb,50.0,27,0,4143700841,142,1476338236.274993,0,3874645644,27
143,57ff224b9335c039eb7f1dbd,50.0,33,0,7366841906,143,1476338251.2779741,0,6020969581,33
144,57ff225a9335c039eb7f1dc0,50.0,26,0,14344610841,144,1476338266.280273,0,12094157280,26
145,57ff22699335c039eb7f1dc3,50.0,39,0,28004311627,145,1476338281.283024,0,27757043240,39
146,57ff22789335c039eb7f1dc5,50.0,46,0,9850381866,146,1476338296.290314,0,9337811097,46
147,57ff22879335c039eb7f1dc8,50.0,35,0,19500874402,147,1476338311.291632,0,18236252040,35
148,57ff22969335c039eb7f1dca,50.0,36,0,2297488522,148,1476338326.2939131,0,1118221181,36
149,57ff22a59335c039eb7f1dce,50.0,39,0,21206369454,149,1476338341.296774,0,21052027473,39
150,57ff22b49335c039eb7f1dd1,50.0,35,0,16771935623,150,1476338356.299069,0,15660006965,35
151,57ff22c39335c039eb7f1dd4,50.0,32,0,19436435575,151,1476338371.300458,0,18902437718,32
152,57ff22d29335c039eb7f1dd8,50.0,39,0,46553114430,152,1476338386.301716,0,28759582804,39
153,57ff22e19335c039eb7f1ddc,50.0,28,0,26728575259,153,1476338401.304151,0,26392202280,28
154,57ff22f09335c039eb7f1dde,50.0,49,0,22667323100,154,1476338416.3051698,0,4211973308,49
155,57ff22ff9335c039eb7f1de0,50.0,39,0,18495325753,155,1476338431.308044,0,4004364628,39
156,57ff230e9335c039eb7f1de4,50.0,34,0,54797220701,156,1476338446.310651,0,34550315236,34
157,57ff231d9335c039eb7f1de6,50.0,45,0,11917489038,157,1476338461.31326,0,7733234930,45
158,57ff232c9335c039eb7f1de8,50.0,37,0,5829868562,158,1476338476.31554,0,5334543725,37
